,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
0,2,25.0,0,0,13.0,1,0,1,0
1,3,33.0,0,0,7.775,1,0,1,0
2,2,42.0,0,0,13.0,1,0,1,0
3,3,24.0,0,0,7.75,0,1,0,0
4,3,45.5,0,0,7.225,1,0,0,0
5,3,19.0,0,0,8.1583,1,0,1,0
6,3,21.0,0,0,8.6625,1,0,1,0
7,3,24.0,0,2,15.2458,0,0,0,0
8,3,43.0,0,0,6.45,1,0,1,0
9,3,9.0,3,2,27.9,0,0,1,0
10,3,21.0,0,0,7.75,0,1,0,0
11,3,24.0,0,0,9.5,1,0,1,0
12,1,47.0,0,0,52.0,1,0,1,0
13,3,36.0,1,1,24.15,1,0,1,0
14,1,58.0,0,2,113.275,1,0,0,0
15,2,26.0,0,0,10.5,1,0,1,0
16,3,31.0,0,0,7.75,1,1,0,0
17,3,3.0,3,1,21.075,0,0,1,0
18,1,36.0,1,0,78.85,1,0,1,0
19,3,21.0,0,0,7.25,1,0,1,0
20,2,29.0,0,0,0.0,1,0,1,0
21,3,29.0,0,0,9.4833,1,0,1,0
22,3,30.0,1,1,24.15,0,0,1,0
23,3,24.0,0,0,24.15,1,1,0,0
24,3,20.0,0,0,4.0125,1,0,0,0
25,2,36.0,0,0,13.0,1,0,1,0
26,3,25.0,0,0,7.25,1,0,1,0
27,3,24.0,1,0,7.75,1,1,0,0
28,1,38.0,0,0,0.0,1,0,1,0
29,1,29.0,0,0,30.0,1,0,1,0
30,2,19.0,0,0,10.5,1,0,1,0
31,3,32.0,0,0,7.925,1,0,1,0
32,1,38.0,0,0,31.0,1,0,1,0
33,3,24.0,1,0,14.4542,0,0,0,0
34,3,4.0,4,1,29.125,1,1,0,0
35,3,29.0,1,1,10.4625,0,0,1,0
36,3,26.0,0,0,8.05,1,0,1,0
37,3,9.0,1,1,15.2458,0,0,0,0
38,1,40.0,0,0,27.7208,1,0,0,0
39,3,24.0,0,0,7.2292,1,0,0,0
40,3,24.0,0,0,7.775,1,0,1,0
41,3,16.0,0,0,7.775,1,0,1,0
42,1,28.0,1,0,82.1708,1,0,0,0
43,1,70.0,1,1,71.0,1,0,1,0
44,3,23.5,0,0,7.2292,1,0,0,0
45,3,24.0,0,0,7.55,0,0,1,0
46,2,47.0,0,0,15.0,1,0,1,0
47,3,24.0,0,0,8.05,1,0,1,0
48,3,17.0,1,0,7.0542,1,0,1,0
49,3,25.0,0,0,7.775,0,0,1,0
50,3,25.0,1,0,7.925,0,0,1,0
51,2,36.0,0,0,12.875,1,0,0,0
52,1,38.0,0,0,26.55,1,0,1,0
53,3,30.0,0,0,7.2292,1,0,0,0
54,3,24.0,1,0,16.1,1,0,1,0
55,3,24.0,1,0,15.5,1,1,0,0
56,2,34.0,0,0,13.0,1,0,1,0
57,3,32.0,0,0,7.75,1,1,0,0
58,2,52.0,0,0,13.0,1,0,1,0
59,3,24.0,1,2,23.45,1,0,1,0
60,3,30.0,0,0,7.25,1,0,1,0
61,3,24.0,0,0,7.8958,1,0,1,0
62,3,1.0,4,1,39.6875,1,0,1,0
63,1,24.0,0,0,79.2,1,0,0,0
64,3,40.0,0,0,7.225,1,0,0,0
65,3,22.0,0,0,9.0,1,0,1,0
66,3,30.0,0,0,8.05,1,0,1,0
67,3,44.0,0,0,8.05,1,0,1,0
68,3,40.0,1,0,9.475,0,0,1,0
69,3,17.0,0,0,8.6625,1,0,1,0
70,3,36.0,0,0,7.4958,1,0,1,0
71,3,22.0,0,0,7.8958,1,0,1,0
72,3,24.0,0,0,8.6625,1,0,1,0
73,3,21.0,0,0,7.925,1,0,1,0
74,3,2.0,4,2,31.275,0,0,1,0
75,3,33.0,0,0,7.8958,1,0,1,0
76,2,32.5,1,0,30.0708,1,0,0,0
77,2,23.0,0,0,10.5,1,0,1,0
78,3,16.0,2,0,18.0,1,0,1,0
79,2,31.0,0,0,10.5,1,0,1,0
80,3,61.0,0,0,6.2375,1,0,1,0
81,2,30.0,0,0,10.5,1,0,1,0
82,1,18.0,1,0,108.9,1,0,0,0
83,3,24.0,3,1,25.4667,0,0,1,0
84,3,24.0,0,0,14.5,1,0,1,0
85,1,46.0,0,0,79.2,1,0,0,0
86,3,18.0,0,1,14.4542,0,0,0,0
87,3,24.0,1,0,19.9667,1,0,1,0
88,2,36.0,1,2,27.75,1,0,1,0
89,3,26.0,0,0,7.8958,1,0,1,0
90,3,24.0,1,0,14.4583,0,0,0,0
91,3,31.0,0,0,7.8542,0,0,1,0
92,3,24.0,0,0,8.7125,1,0,0,0
93,3,24.0,0,0,7.75,1,1,0,0
94,3,18.0,0,0,7.775,0,0,1,0
95,1,56.0,0,0,26.55,1,0,1,0
96,3,24.0,0,0,7.55,1,0,1,0
97,1,45.0,0,0,35.5,1,0,1,0
98,3,35.0,0,0,8.05,1,0,1,0
99,3,20.0,0,0,8.6625,0,0,1,0
100,3,24.0,0,0,7.225,1,0,0,0
101,3,24.0,8,2,69.55,1,0,1,0
102,3,37.0,0,0,9.5875,0,0,1,0
103,1,47.0,0,0,38.5,1,0,1,0
104,3,19.0,0,0,7.65,1,0,1,0
105,1,61.0,0,0,32.3208,1,0,1,0
106,3,22.0,0,0,7.8958,1,0,1,0
107,2,21.0,2,0,73.5,1,0,1,0
108,3,21.0,0,0,8.4333,1,0,1,0
109,3,24.0,0,0,8.05,1,0,1,0
110,1,50.0,0,0,28.7125,0,0,0,0
111,3,22.0,0,0,7.125,1,0,1,0
112,2,27.0,0,0,13.0,1,0,1,0
113,3,24.0,0,0,7.725,1,1,0,0
114,3,24.0,1,0,16.1,1,0,1,0
115,3,24.0,0,0,7.2292,1,0,0,0
116,3,24.0,0,0,6.95,1,1,0,0
117,3,30.5,0,0,7.75,0,1,0,0
118,3,28.0,1,0,15.85,1,0,1,0
119,3,7.0,4,1,29.125,1,1,0,0
120,3,9.0,4,2,31.275,0,0,1,0
121,3,4.0,4,2,31.275,1,0,1,0
122,2,35.0,0,0,26.0,1,0,1,0
123,2,16.0,0,0,26.0,1,0,1,0
124,1,61.0,0,0,33.5,1,0,1,0
125,1,38.0,0,0,227.525,1,0,0,0
126,3,2.0,4,1,39.6875,1,0,1,0
127,3,43.0,0,0,8.05,1,0,1,0
128,3,22.0,0,0,7.7958,1,0,1,0
129,3,38.0,0,0,7.8958,1,0,1,0
130,3,28.5,0,0,16.1,1,0,1,0
131,3,36.0,0,0,7.8958,1,0,1,0
132,2,28.0,0,0,10.5,1,0,1,0
133,3,19.0,0,0,10.1708,1,0,1,0
134,3,2.0,3,2,27.9,0,0,1,0
135,3,24.0,0,0,7.75,1,1,0,0
136,1,31.0,1,0,52.0,1,0,1,0
137,3,24.0,0,0,7.05,1,0,1,0
138,3,21.0,0,0,7.775,1,0,1,0
139,3,14.0,0,0,7.8542,0,0,1,0
140,3,24.0,0,0,15.5,1,1,0,0
141,1,38.0,0,0,0.0,1,0,1,0
142,3,24.0,0,0,7.7958,1,0,1,0
143,3,26.0,0,0,7.8958,1,0,1,0
144,2,23.0,0,0,13.0,1,0,1,0
145,1,51.0,0,1,61.3792,1,0,0,0
146,2,51.0,0,0,12.525,1,0,1,0
147,2,38.0,0,0,13.0,0,0,1,0
148,3,26.0,1,2,20.575,1,0,1,0
149,1,65.0,0,1,61.9792,1,0,0,0
150,1,27.0,0,2,211.5,1,0,0,0
151,3,24.0,0,0,8.05,1,0,1,0
152,3,24.0,0,0,7.3125,1,0,1,0
153,3,24.0,0,0,7.75,1,1,0,0
154,3,24.0,0,0,6.8583,1,1,0,0
155,3,24.0,0,0,7.2292,1,0,0,0
156,3,38.0,0,0,7.05,1,0,1,0
157,3,24.0,0,0,8.05,1,0,1,0
158,3,51.0,0,0,8.05,1,0,1,0
159,3,24.0,0,0,7.8958,1,0,1,0
160,3,39.0,1,5,31.275,1,0,1,0
161,3,2.0,4,1,29.125,1,1,0,0
162,3,22.0,0,0,8.05,1,0,1,0
163,3,24.0,2,0,24.15,1,0,1,0
164,3,23.0,0,0,9.225,1,0,1,0
165,3,29.0,0,4,21.075,0,0,1,0
166,2,54.0,0,0,26.0,1,0,1,0
167,3,26.0,2,0,8.6625,1,0,1,0
168,3,23.0,0,0,7.925,0,0,1,0
169,3,49.0,0,0,0.0,1,0,1,0
170,2,18.0,0,0,73.5,1,0,1,0
171,3,39.0,0,5,29.125,0,1,0,0
172,3,28.0,0,0,22.525,1,0,1,0
173,3,24.0,0,0,7.8958,1,0,1,0
174,3,41.0,0,0,7.125,1,0,1,0
175,1,38.0,0,0,50.0,1,0,1,0
176,2,44.0,1,0,26.0,1,0,1,0
177,2,34.0,1,0,21.0,1,0,1,0
178,3,28.0,0,0,7.8958,0,0,1,0
179,3,24.0,1,0,19.9667,1,0,1,0
180,3,24.0,1,0,24.15,1,1,0,0
181,1,39.0,0,0,0.0,1,0,1,0
182,3,25.0,0,0,7.05,1,0,1,0
183,3,1.0,5,2,46.9,1,0,1,0
184,3,18.0,1,1,20.2125,1,0,1,0
185,2,30.0,1,0,24.0,1,0,0,0
186,3,59.0,0,0,7.25,1,0,1,0
187,1,40.0,0,0,0.0,1,0,1,0
188,3,40.0,0,0,7.8958,1,0,1,0
189,3,24.0,0,0,7.8958,1,0,1,0
190,2,29.0,0,0,10.5,1,0,1,0
191,3,28.0,0,0,7.8958,1,0,1,0
192,1,45.0,1,0,83.475,1,0,1,0
193,3,19.0,0,0,7.8958,1,0,1,0
194,1,42.0,1,0,52.0,1,0,1,0
195,3,26.0,0,0,7.8875,1,0,1,0
196,3,32.0,0,0,7.925,1,0,1,0
197,3,24.0,8,2,69.55,0,0,1,0
198,3,20.0,0,0,7.8542,1,0,1,0
199,1,24.0,0,1,247.5208,1,0,0,0
200,3,24.0,2,0,21.6792,1,0,0,0
201,2,36.0,0,0,10.5,1,0,1,0
202,2,18.0,0,0,11.5,1,0,1,0
203,3,30.0,1,0,16.1,1,0,1,0
204,3,2.0,3,1,21.075,1,0,1,0
205,3,21.0,0,0,16.1,1,0,1,0
206,3,28.0,0,0,7.8542,1,0,1,0
207,2,34.0,1,0,21.0,1,0,1,0
208,2,29.0,0,0,0.0,1,0,1,0
209,3,20.0,0,0,8.05,1,0,1,0
210,2,42.0,1,0,27.0,1,0,1,0
211,3,24.0,0,0,7.225,1,0,0,0
212,3,27.0,0,0,7.8958,1,0,1,0
213,3,2.0,0,1,10.4625,0,0,1,0
214,3,17.0,0,0,7.125,1,0,1,0
215,2,29.0,0,0,15.05,1,0,0,0
216,2,27.0,1,0,21.0,0,0,1,0
217,3,22.0,0,0,8.05,1,0,1,0
218,2,25.0,0,0,13.0,1,0,1,0
219,3,18.0,2,0,18.0,0,0,1,0
220,2,57.0,0,0,12.35,1,1,0,0
221,1,62.0,0,0,26.55,1,0,1,0
222,3,24.0,0,0,7.8958,1,0,1,0
223,1,52.0,1,1,79.65,1,0,1,0
224,1,50.0,1,0,106.425,1,0,0,0
225,2,29.0,0,0,0.0,1,0,1,0
226,1,19.0,1,0,53.1,1,0,1,0
227,3,40.0,1,4,27.9,1,0,1,0
228,2,39.0,0,0,13.0,1,0,1,0
229,3,28.0,0,0,7.8958,1,0,1,0
230,3,35.0,0,0,7.8958,1,0,0,0
231,3,11.0,0,0,18.7875,1,0,0,0
232,3,36.0,0,0,0.0,1,0,1,0
233,3,45.0,0,0,6.975,1,0,1,0
234,3,18.0,0,0,7.7958,1,0,1,0
235,3,24.0,1,2,23.45,0,0,1,0
236,3,24.0,0,0,7.225,1,0,0,0
237,3,24.0,0,0,14.4583,1,0,0,0
238,1,33.0,0,0,5.0,1,0,1,0
239,2,21.0,1,0,11.5,1,0,1,0
240,3,30.0,0,0,7.225,1,0,0,0
241,3,19.0,0,0,7.8958,1,0,1,0
242,3,28.0,2,0,7.925,1,0,1,0
243,2,39.0,0,0,26.0,1,0,1,0
244,3,24.0,0,0,7.75,1,1,0,0
245,3,24.0,0,0,7.7333,1,1,0,0
246,3,35.0,0,0,7.125,1,0,1,0
247,3,24.0,0,0,7.2292,1,0,0,0
248,3,29.0,0,0,8.05,1,0,1,0
249,2,26.0,1,1,26.0,0,0,1,0
250,1,2.0,1,2,151.55,0,0,1,0
251,3,18.0,1,1,7.8542,1,0,1,0
252,3,24.0,0,0,8.05,0,0,1,0
253,3,31.0,0,0,7.775,1,0,1,0
254,3,24.0,0,0,7.25,1,0,1,0
255,3,26.0,0,0,7.775,1,0,1,0
256,3,24.0,0,0,9.5,1,0,1,0
257,3,37.0,2,0,7.925,1,0,1,0
258,3,44.0,0,1,16.1,1,0,1,0
259,3,24.0,0,0,7.25,1,0,1,0
260,3,24.0,8,2,69.55,1,0,1,0
261,3,24.0,0,0,14.5,1,0,1,0
262,2,50.0,0,0,13.0,1,0,1,0
263,2,19.0,1,1,36.75,1,0,1,0
264,3,36.0,1,0,15.55,1,0,1,0
265,1,64.0,0,0,26.0,1,0,1,0
266,2,54.0,0,0,14.0,1,0,1,0
267,3,24.0,0,0,7.8958,1,0,1,0
268,3,29.0,0,0,7.775,1,0,1,0
269,2,32.0,0,0,10.5,1,0,1,0
270,3,39.0,0,0,24.15,1,0,1,0
271,2,16.0,0,0,10.5,1,0,1,0
272,2,29.0,0,0,0.0,1,0,1,0
273,1,71.0,0,0,49.5042,1,0,0,0
274,1,38.0,0,0,39.6,1,0,0,0
275,3,24.0,0,0,8.4583,1,1,0,0
276,2,29.0,1,0,27.7208,1,0,0,0
277,3,20.0,0,0,7.925,1,0,1,0
278,3,22.0,0,0,9.35,1,0,1,0
279,2,46.0,0,0,26.0,1,0,1,0
280,1,47.0,0,0,34.0208,1,0,1,0
281,3,21.0,0,0,7.925,1,0,1,0
282,2,28.0,0,1,33.0,1,0,1,0
283,1,37.0,0,1,29.7,1,0,0,0
284,3,41.0,0,2,20.2125,0,0,1,0
285,1,49.0,1,1,110.8833,1,0,0,0
286,3,24.0,0,0,7.2292,1,0,0,0
287,3,24.0,0,0,7.8292,1,1,0,0
288,3,32.0,1,0,15.85,1,0,1,0
289,3,18.0,0,0,7.775,1,0,1,0
290,3,24.0,0,0,8.05,0,0,1,0
291,3,24.0,0,0,8.05,1,0,1,0
292,3,19.0,0,0,7.8958,1,0,1,0
293,3,8.0,4,1,29.125,1,1,0,0
294,3,14.0,4,1,39.6875,1,0,1,0
295,2,30.0,0,0,13.0,1,0,1,0
296,3,19.0,0,0,7.775,1,0,1,0
297,3,34.0,0,0,6.4958,1,0,1,0
298,3,22.0,0,0,7.2292,1,0,0,0
299,3,16.0,0,0,9.2167,1,0,1,0
300,3,29.0,1,0,7.0458,1,0,1,0
301,3,24.0,0,0,7.8958,1,0,1,0
302,1,21.0,0,1,77.2875,1,0,1,0
303,3,22.0,0,0,7.25,1,0,1,0
304,1,38.0,0,0,221.7792,1,0,1,0
305,2,44.0,1,0,26.0,0,0,1,0
306,1,38.0,0,0,42.4,1,0,1,0
307,3,32.0,0,0,8.3625,1,0,1,0
308,3,28.0,0,0,9.5,1,0,1,0
309,3,21.0,0,0,8.05,1,0,1,0
310,3,30.0,0,0,8.05,1,0,1,0
311,2,29.0,1,0,21.0,1,0,1,0
312,3,24.0,3,1,25.4667,0,0,1,0
313,3,4.0,3,2,27.9,1,0,1,0
314,3,24.0,0,0,8.05,1,0,1,0
315,3,21.0,0,0,7.8,1,0,1,0
316,3,42.0,0,0,7.65,1,0,1,0
317,2,25.0,0,0,13.0,1,0,1,0
318,3,24.5,0,0,8.05,1,0,1,0
319,3,24.0,0,0,7.6292,0,1,0,0
320,3,74.0,0,0,7.775,1,0,1,0
321,3,24.0,0,0,7.225,1,0,0,0
322,3,18.0,1,0,17.8,0,0,1,0
323,2,39.0,0,0,13.0,1,0,1,0
324,3,16.0,0,0,8.05,1,0,1,0
325,2,33.0,0,0,12.275,1,0,1,0
326,3,32.0,1,1,15.5,0,1,0,0
327,2,70.0,0,0,10.5,1,0,1,0
328,3,22.0,0,0,7.25,1,0,1,0
329,3,42.0,0,0,8.6625,1,0,1,0
330,3,24.0,8,2,69.55,1,0,1,0
331,3,24.0,0,0,8.1375,0,1,0,0
332,3,10.0,3,2,27.9,1,0,1,0
333,3,14.0,5,2,46.9,1,0,1,0
334,3,15.0,1,1,7.2292,1,0,0,0
335,2,18.0,0,0,11.5,1,0,1,0
336,1,38.0,0,0,27.7208,1,0,0,0
337,1,38.0,0,0,35.0,1,0,1,0
338,2,31.0,1,1,37.0042,1,0,0,0
339,1,38.0,0,1,153.4625,1,0,1,0
340,1,38.0,1,0,71.2833,0,0,0,1
341,3,26.0,0,0,7.925,0,0,1,1
342,1,35.0,1,0,53.1,0,0,1,1
343,3,27.0,0,2,11.1333,0,0,1,1
344,2,14.0,1,0,30.0708,0,0,0,1
345,3,4.0,1,1,16.7,0,0,1,1
346,1,58.0,0,0,26.55,0,0,1,1
347,2,55.0,0,0,16.0,0,0,1,1
348,2,29.0,0,0,13.0,1,0,1,1
349,3,24.0,0,0,7.225,0,0,0,1
350,2,34.0,0,0,13.0,1,0,1,1
351,3,15.0,0,0,8.0292,0,1,0,1
352,1,28.0,0,0,35.5,1,0,1,1
353,3,38.0,1,5,31.3875,0,0,1,1
354,3,24.0,0,0,7.8792,0,1,0,1
355,1,38.0,1,0,146.5208,0,0,0,1
356,3,24.0,0,0,7.75,0,1,0,1
357,3,24.0,0,0,7.2292,1,0,0,1
358,3,14.0,1,0,11.2417,0,0,0,1
359,2,3.0,1,2,41.5792,0,0,0,1
360,3,19.0,0,0,7.8792,0,1,0,1
361,3,24.0,0,0,7.75,0,1,0,1
362,1,49.0,1,0,76.7292,0,0,0,1
363,2,29.0,1,0,26.0,0,0,1,1
364,1,38.0,0,0,35.5,1,0,1,1
365,2,21.0,0,0,10.5,0,0,1,1
366,2,5.0,1,2,27.75,0,0,1,1
367,3,24.0,1,1,15.2458,1,0,0,1
368,2,29.0,0,0,10.5,0,0,1,1
369,3,17.0,4,2,7.925,0,0,1,1
370,3,32.0,0,0,56.4958,1,0,1,1
371,2,0.83,0,2,29.0,1,0,1,1
372,3,30.0,0,0,12.475,0,0,1,1
373,3,29.0,0,0,9.5,1,0,1,1
374,3,24.0,0,0,7.7875,0,1,0,1
375,2,17.0,0,0,10.5,0,0,1,1
376,3,33.0,3,0,15.85,0,0,1,1
377,1,23.0,3,2,263.0,0,0,1,1
378,1,23.0,0,1,63.3583,1,0,0,1
379,2,34.0,0,1,23.0,0,0,1,1
380,3,21.0,0,0,7.65,0,0,1,1
381,3,24.0,0,0,7.775,1,0,1,1
382,3,24.0,1,0,24.15,0,1,0,1
383,2,32.5,0,0,13.0,0,0,1,1
384,3,12.0,1,0,11.2417,1,0,0,1
385,3,24.0,0,0,7.1417,1,0,1,1
386,3,24.0,1,1,22.3583,0,0,0,1
387,2,29.0,1,0,26.0,0,0,1,1
388,1,19.0,0,2,26.2833,0,0,1,1
389,3,22.0,0,0,7.75,0,0,1,1
390,3,24.0,1,0,15.85,0,0,1,1
391,3,27.0,0,0,7.7958,1,0,1,1
392,1,22.0,1,0,66.6,0,0,1,1
393,3,16.0,0,0,7.7333,0,1,0,1
394,2,40.0,0,0,15.75,0,0,1,1
395,3,9.0,0,2,20.525,1,0,1,1
396,1,38.0,0,1,55.0,0,0,1,1
397,3,1.0,1,1,11.1333,0,0,1,1
398,2,1.0,2,1,39.0,1,0,1,1
399,3,4.0,0,2,22.025,0,0,1,1
400,3,24.0,1,0,15.5,0,1,0,1
401,1,45.0,0,0,26.55,1,0,1,1
402,2,32.0,0,0,13.0,0,0,1,1
403,3,19.0,1,0,7.8542,0,0,1,1
404,2,3.0,1,1,26.0,1,0,1,1
405,1,44.0,0,0,27.7208,0,0,0,1
406,1,58.0,0,0,146.5208,0,0,0,1
407,3,24.0,0,0,7.75,0,1,0,1
408,3,18.0,0,0,8.05,1,0,1,1
409,3,26.0,0,0,18.7875,1,0,0,1
410,3,16.0,0,0,7.75,0,1,0,1
411,1,40.0,0,0,31.0,1,0,0,1
412,2,35.0,0,0,21.0,0,0,1,1
413,1,31.0,1,0,113.275,0,0,0,1
414,3,27.0,0,0,7.925,0,0,1,1
415,1,32.0,0,0,76.2917,0,0,0,1
416,3,16.0,0,0,8.05,1,0,1,1
417,1,38.0,1,0,90.0,1,0,1,1
418,2,19.0,0,0,10.5,1,0,1,1
419,1,35.0,1,0,83.475,0,0,1,1
420,3,5.0,4,2,31.3875,0,0,1,1
421,2,8.0,0,2,26.25,0,0,1,1
422,3,24.0,1,0,15.5,0,1,0,1
423,2,24.0,0,2,14.5,0,0,1,1
424,1,37.0,1,1,52.5542,1,0,1,1
425,3,29.0,0,2,15.2458,0,0,0,1
426,1,38.0,0,0,79.2,0,0,0,1
427,1,30.0,0,0,86.5,0,0,1,1
428,1,35.0,0,0,512.3292,0,0,0,1
429,2,50.0,0,1,26.0,0,0,1,1
430,3,3.0,4,2,31.3875,1,0,1,1
431,3,25.0,1,0,7.775,1,0,1,1
432,1,58.0,0,1,153.4625,0,0,1,1
433,1,35.0,0,0,135.6333,0,0,1,1
434,3,25.0,0,0,0.0,1,0,1,1
435,2,41.0,0,1,19.5,0,0,1,1
436,3,24.0,0,0,7.75,0,1,0,1
437,1,63.0,1,0,77.9583,0,0,1,1
438,3,35.0,1,1,20.25,0,0,1,1
439,3,19.0,0,0,8.05,1,0,1,1
440,3,30.0,0,0,9.5,1,0,1,1
441,2,42.0,0,0,13.0,1,0,1,1
442,3,22.0,0,0,7.75,0,1,0,1
443,1,26.0,0,0,78.85,0,0,1,1
444,1,19.0,1,0,91.0792,0,0,0,1
445,1,38.0,0,0,30.5,1,0,1,1
446,1,50.0,0,1,247.5208,0,0,0,1
447,3,24.0,0,0,7.75,0,1,0,1
448,3,24.0,2,0,23.25,1,1,0,1
449,2,29.0,0,0,12.35,0,1,0,1
450,1,0.92,1,2,151.55,1,0,1,1
451,1,38.0,0,0,110.8833,0,0,0,1
452,1,17.0,1,0,108.9,0,0,0,1
453,1,30.0,0,0,56.9292,0,0,0,1
454,1,24.0,0,0,83.1583,0,0,0,1
455,1,18.0,2,2,262.375,0,0,0,1
456,3,26.0,0,0,7.8542,0,0,1,1
457,2,24.0,1,0,26.0,0,0,1,1
458,1,31.0,0,2,164.8667,0,0,1,1
459,1,40.0,1,1,134.5,0,0,0,1
460,2,30.0,0,0,12.35,0,1,0,1
461,2,22.0,1,1,29.0,0,0,1,1
462,1,36.0,0,0,135.6333,0,0,0,1
463,2,36.0,0,0,13.0,0,0,1,1
464,3,31.0,1,1,20.525,0,0,1,1
465,1,16.0,0,1,57.9792,0,0,0,1
466,3,24.0,2,0,23.25,0,1,0,1
467,1,38.0,1,0,133.65,0,0,1,1
468,1,41.0,0,0,134.5,0,0,0,1
469,3,45.0,0,0,8.05,1,0,1,1
470,2,2.0,1,1,26.0,1,0,1,1
471,1,24.0,3,2,263.0,0,0,1,1
472,2,24.0,0,0,13.0,0,0,1,1
473,2,40.0,0,0,13.0,0,0,1,1
474,3,24.0,1,0,16.1,0,0,1,1
475,3,3.0,1,1,15.9,1,0,1,1
476,1,22.0,0,1,55.0,0,0,1,1
477,3,24.0,0,0,7.8792,0,1,0,1
478,3,24.0,0,0,7.8792,0,1,0,1
479,1,60.0,1,0,75.25,0,0,0,1
480,3,24.0,0,0,7.2292,0,0,0,1
481,3,24.0,0,0,7.75,0,1,0,1
482,1,24.0,0,0,69.3,0,0,0,1
483,1,25.0,1,0,55.4417,1,0,0,1
484,1,38.0,1,0,82.1708,0,0,0,1
485,3,22.0,0,0,7.25,0,0,1,1
486,1,42.0,0,0,227.525,0,0,0,1
487,3,1.0,0,2,15.7417,0,0,0,1
488,1,35.0,1,0,52.0,0,0,1,1
489,2,36.0,0,0,13.0,0,0,1,1
490,2,17.0,0,0,12.0,0,0,0,1
491,1,36.0,1,2,120.0,1,0,1,1
492,3,21.0,0,0,7.7958,1,0,1,1
493,1,23.0,1,0,113.275,0,0,0,1
494,3,24.0,0,2,16.7,0,0,1,1
495,2,28.0,0,0,12.65,0,0,1,1
496,3,39.0,0,0,7.925,1,0,1,1
497,2,3.0,1,1,18.75,1,0,1,1
498,1,33.0,1,0,90.0,0,1,0,1
499,3,44.0,0,0,7.925,1,0,1,1
500,2,34.0,1,1,32.5,0,0,1,1
501,2,18.0,0,2,13.0,0,0,1,1
502,2,28.0,1,0,26.0,0,0,1,1
503,2,19.0,0,0,26.0,0,0,1,1
504,3,32.0,0,0,8.05,1,0,1,1
505,1,28.0,0,0,26.55,1,0,1,1
506,3,24.0,1,0,16.1,0,0,1,1
507,2,42.0,1,0,26.0,0,0,1,1
508,1,14.0,1,2,120.0,0,0,1,1
509,2,24.0,2,3,18.75,0,0,1,1
510,2,45.0,1,1,26.25,0,0,1,1
511,2,28.0,0,0,13.0,0,0,1,1
512,3,24.0,0,0,8.1125,1,0,1,1
513,1,4.0,0,2,81.8583,1,0,1,1
514,2,13.0,0,1,19.5,0,0,1,1
515,1,34.0,0,0,26.55,1,0,1,1
516,3,5.0,2,1,19.2583,0,0,0,1
517,1,52.0,0,0,30.5,1,0,1,1
518,1,49.0,1,0,89.1042,1,0,0,1
519,3,29.0,0,0,7.8958,1,0,0,1
520,1,38.0,1,0,51.8625,0,0,1,1
521,2,50.0,0,0,10.5,0,0,1,1
522,1,48.0,0,0,26.55,1,0,1,1
523,3,0.75,2,1,19.2583,0,0,0,1
524,2,33.0,1,2,27.75,0,0,1,1
525,2,23.0,0,0,13.7917,0,0,0,1
526,3,2.0,0,1,12.2875,0,0,1,1
527,3,63.0,0,0,9.5875,0,0,1,1
528,1,25.0,1,0,91.0792,1,0,0,1
529,1,35.0,1,0,90.0,0,0,1,1
530,3,9.0,1,1,15.9,1,0,1,1
531,1,54.0,1,0,78.2667,0,0,0,1
532,1,16.0,0,0,86.5,0,0,1,1
533,2,33.0,0,2,26.0,0,0,1,1
534,1,38.0,0,0,26.55,1,0,1,1
535,3,26.0,0,0,56.4958,1,0,1,1
536,3,29.0,0,0,7.75,1,1,0,1
537,1,36.0,0,0,26.2875,1,0,1,1
538,1,54.0,1,0,59.4,0,0,0,1
539,2,34.0,0,0,10.5,0,0,1,1
540,2,36.0,1,0,26.0,0,0,1,1
541,1,30.0,0,0,93.5,0,0,1,1
542,1,44.0,0,1,57.9792,0,0,0,1
543,2,50.0,0,0,10.5,0,0,1,1
544,2,2.0,1,1,26.0,0,0,1,1
545,3,24.0,0,2,22.3583,0,0,0,1
546,2,7.0,0,2,26.25,0,0,1,1
547,1,30.0,0,0,106.425,0,0,0,1
548,1,22.0,0,2,49.5,0,0,0,1
549,1,36.0,0,2,71.0,0,0,1,1
550,2,32.0,1,0,26.0,1,0,1,1
551,2,19.0,1,0,26.0,0,0,1,1
552,2,29.0,0,0,13.8625,1,0,0,1
553,2,8.0,1,1,36.75,1,0,1,1
554,1,17.0,0,2,110.8833,1,0,0,1
555,3,22.0,0,0,7.225,1,0,0,1
556,3,22.0,0,0,7.775,0,0,1,1
557,1,48.0,1,0,39.6,0,0,0,1
558,1,39.0,1,1,79.65,0,0,1,1
559,3,36.0,1,0,17.4,0,0,1,1
560,3,32.0,0,0,7.8542,1,0,1,1
561,2,62.0,0,0,10.5,1,0,1,1
562,1,53.0,2,0,51.4792,0,0,1,1
563,1,36.0,0,0,26.3875,1,0,1,1
564,3,24.0,0,0,7.75,0,1,0,1
565,2,34.0,0,0,13.0,0,0,1,1
566,1,39.0,1,0,55.9,0,0,1,1
567,3,32.0,0,0,7.925,1,0,1,1
568,2,25.0,1,1,30.0,0,0,1,1
569,1,39.0,1,1,110.8833,0,0,0,1
570,1,18.0,0,2,79.65,0,0,1,1
571,1,60.0,1,1,79.2,1,0,0,1
