,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
0,2,-0.2682866601780832,0,0,-0.4094782375248968,1,0,1,0
1,3,0.33814439658033135,0,0,-0.5068071488858379,1,0,1,0
2,2,1.0203793354335478,0,0,-0.4094782375248968,1,0,1,0
3,3,-0.34409054227288505,0,0,-0.5072728374569428,0,1,0,0
4,3,1.2856929227653542,0,0,-0.5170522974501475,1,0,0,0
5,3,-0.7231099527468942,0,0,-0.4996672117136563,1,0,1,0
6,3,-0.5715021885572905,0,0,-0.490275204611611,1,0,1,0
7,3,-0.34409054227288505,0,2,-0.36764450180539415,0,0,0,0
8,3,1.0961832175283497,0,0,-0.5314886431544019,1,0,1,0
9,3,-1.4811487736949125,3,2,-0.1319278491463281,0,0,1,0
10,3,-0.5715021885572905,0,0,-0.5072728374569428,0,1,0,0
11,3,-0.34409054227288505,0,0,-0.47467463747959415,1,0,1,0
12,1,1.399398745907557,0,0,0.3169959333988737,1,0,1,0
13,3,0.5655560428647368,1,1,-0.20178113481207527,1,0,1,0
14,1,2.233241448950377,0,2,1.4583986211771827,1,0,0,0
15,2,-0.1924827780832814,0,0,-0.45604709463539495,1,0,1,0
16,3,0.18653663239072774,0,0,-0.5072728374569428,1,1,0,0
17,3,-1.9359720662637234,3,1,-0.25906082905798794,0,0,1,0
18,1,0.5655560428647368,1,0,0.8171454587656233,1,0,1,0
19,3,-0.5715021885572905,0,0,-0.5165866088790425,1,0,1,0
20,2,0.03492886820112408,0,0,-0.651636294499487,1,0,1,0
21,3,0.03492886820112408,0,0,-0.4749857174450923,1,0,1,0
22,3,0.1107327502959259,1,1,-0.20178113481207527,0,0,1,0
23,3,-0.34409054227288505,0,0,-0.20178113481207527,1,1,0,0
24,3,-0.6473060706520923,0,0,-0.5768932788371376,1,0,0,0
25,2,0.5655560428647368,0,0,-0.4094782375248968,1,0,1,0
26,3,-0.2682866601780832,0,0,-0.5165866088790425,1,0,1,0
27,3,-0.34409054227288505,1,0,-0.5072728374569428,1,1,0,0
28,1,0.7171638070543405,0,0,-0.651636294499487,1,0,1,0
29,1,0.03492886820112408,0,0,-0.09281000917350966,1,0,1,0
30,2,-0.7231099527468942,0,0,-0.45604709463539495,1,0,1,0
31,3,0.26234051448552953,0,0,-0.504013017459208,1,0,1,0
32,1,0.7171638070543405,0,0,-0.07418246632931041,1,0,1,0
33,3,-0.34409054227288505,1,0,-0.3823900647208623,0,0,0,0
34,3,-1.8601681841689215,4,1,-0.109109109162184,1,1,0,0
35,3,0.03492886820112408,1,1,-0.45674562749205244,0,0,1,0
36,3,-0.1924827780832814,0,0,-0.5016845746036831,1,0,1,0
37,3,-1.4811487736949125,1,1,-0.36764450180539415,0,0,0,0
38,1,0.8687715712439441,0,0,-0.13526590482400858,1,0,0,0
39,3,-0.34409054227288505,0,0,-0.5169740617702019,1,0,0,0
40,3,-0.34409054227288505,0,0,-0.5068071488858379,1,0,1,0
41,3,-0.9505215990312996,0,0,-0.5068071488858379,1,0,1,0
42,1,-0.040875013893677745,1,0,0.8790038030426403,1,0,0,0
43,1,3.1428880340879988,1,1,0.6709192474386594,1,0,1,0
44,3,-0.38199248332028596,0,0,-0.5169740617702019,1,0,0,0
45,3,-0.34409054227288505,0,0,-0.5109983460257826,0,0,1,0
46,2,1.399398745907557,0,0,-0.37222315183649834,1,0,1,0
47,3,-0.34409054227288505,0,0,-0.5016845746036831,1,0,1,0
48,3,-0.8747177169364978,1,0,-0.5202338817679366,1,0,1,0
49,3,-0.2682866601780832,0,0,-0.5068071488858379,0,0,1,0
50,3,-0.2682866601780832,1,0,-0.504013017459208,0,0,1,0
51,2,0.5655560428647368,0,0,-0.41180668038042173,1,0,0,0
52,1,0.7171638070543405,0,0,-0.15707503198599704,1,0,1,0
53,3,0.1107327502959259,0,0,-0.5169740617702019,1,0,0,0
54,3,-0.34409054227288505,1,0,-0.35173285470787913,1,0,1,0
55,3,-0.34409054227288505,1,0,-0.3629093804143987,1,1,0,0
56,2,0.4139482786751332,0,0,-0.4094782375248968,1,0,1,0
57,3,0.26234051448552953,0,0,-0.5072728374569428,1,1,0,0
58,2,1.778418156381566,0,0,-0.4094782375248968,1,0,1,0
59,3,-0.34409054227288505,1,2,-0.21482041480301473,1,0,1,0
60,3,0.1107327502959259,0,0,-0.5165866088790425,1,0,1,0
61,3,-0.34409054227288505,0,0,-0.5045569417102586,1,0,1,0
62,3,-2.087579830453327,4,1,0.08764431212967051,1,0,1,0
63,1,-0.34409054227288505,0,0,0.8236650987610932,1,0,0,0
64,3,0.8687715712439441,0,0,-0.5170522974501475,1,0,0,0
65,3,-0.4956983064624887,0,0,-0.4839884089016938,1,0,1,0
66,3,0.1107327502959259,0,0,-0.5016845746036831,1,0,1,0
67,3,1.1719870996231514,0,0,-0.5016845746036831,1,0,1,0
68,3,0.8687715712439441,1,0,-0.4751403260506991,0,0,1,0
69,3,-0.8747177169364978,0,0,-0.490275204611611,1,0,1,0
70,3,0.5655560428647368,0,0,-0.5120079588479383,1,0,1,0
71,3,-0.4956983064624887,0,0,-0.5045569417102586,1,0,1,0
72,3,-0.34409054227288505,0,0,-0.490275204611611,1,0,1,0
73,3,-0.5715021885572905,0,0,-0.504013017459208,1,0,1,0
74,3,-2.011775948358525,4,2,-0.06905989204715565,0,0,1,0
75,3,0.33814439658033135,0,0,-0.5045569417102586,1,0,1,0
76,2,0.30024245553293044,1,0,-0.09149117914014038,1,0,0,0
77,2,-0.41989442436768687,0,0,-0.45604709463539495,1,0,1,0
78,3,-0.9505215990312996,2,0,-0.3163405233039006,1,0,1,0
79,2,0.18653663239072774,0,0,-0.45604709463539495,1,0,1,0
80,3,2.460653095234782,0,0,-0.5354469960087942,1,0,1,0
81,2,0.1107327502959259,0,0,-0.45604709463539495,1,0,1,0
82,1,-0.798913834841696,1,0,1.376903121233811,1,0,0,0
83,3,-0.34409054227288505,3,1,-0.1772542491491181,0,0,1,0
84,3,-0.34409054227288505,0,0,-0.38153692325859795,1,0,1,0
85,1,1.323594863812755,0,0,0.8236650987610932,1,0,0,0
86,3,-0.798913834841696,0,1,-0.3823900647208623,0,0,0,0
87,3,-0.34409054227288505,1,0,-0.27970573479221394,1,0,1,0
88,2,0.5655560428647368,1,2,-0.13472198057295795,1,0,1,0
89,3,-0.1924827780832814,0,0,-0.5045569417102586,1,0,1,0
90,3,-0.34409054227288505,1,0,-0.382313691795201,0,0,0,0
91,3,0.18653663239072774,0,0,-0.5053318474925773,0,0,1,0
92,3,-0.34409054227288505,0,0,-0.4893438274694011,1,0,0,0
93,3,-0.34409054227288505,0,0,-0.5072728374569428,1,1,0,0
94,3,-0.798913834841696,0,0,-0.5068071488858379,0,0,1,0
95,1,2.0816336847607735,0,0,-0.15707503198599704,1,0,1,0
96,3,-0.34409054227288505,0,0,-0.5109983460257826,1,0,1,0
97,1,1.2477909817179533,0,0,0.009641476469586184,1,0,1,0
98,3,0.489752160769935,0,0,-0.5016845746036831,1,0,1,0
99,3,-0.6473060706520923,0,0,-0.490275204611611,0,0,1,0
100,3,-0.34409054227288505,0,0,-0.5170522974501475,1,0,0,0
101,3,-0.34409054227288505,8,2,0.6439093103145704,1,0,1,0
102,3,0.6413599249595386,0,0,-0.47304472748072673,0,0,1,0
103,1,1.399398745907557,0,0,0.06552410500218392,1,0,1,0
104,3,-0.7231099527468942,0,0,-0.5091355917413628,1,0,1,0
105,1,2.460653095234782,0,0,-0.049579207740692084,1,0,1,0
106,3,-0.4956983064624887,0,0,-0.5045569417102586,1,0,1,0
107,2,-0.5715021885572905,2,0,0.7174881045491575,1,0,1,0
108,3,-0.5715021885572905,0,0,-0.4945446374315015,1,0,1,0
109,3,-0.34409054227288505,0,0,-0.5016845746036831,1,0,1,0
110,1,1.6268103921919623,0,0,-0.11679297058541621,0,0,0,0
111,3,-0.4956983064624887,0,0,-0.5189150517345674,1,0,1,0
